water_source_type,region,district,source_name,nearest_settlement_name,latitude,longitude,permanent,functioning,bh_static_water_level,dw_static_water_level,dam_depth,berkad_depth,other_depth
Dug Well,Awdal,Borama,Camuud 2,Boorame,9.9484,43.2329,Yes,Yes,,9.0,,,
Spring,Awdal,Zeylac,Khadar Iyoiiyaas,Jidhi Town,10.573,42.9941,Yes,Yes,,,,,
Dam,Awdal,Borama,Cali Cumer,Dila Town,9.7737,43.3444,No,Yes,,,,,
Dug Well,Awdal,Baki,Ruqi Dug Well,Ruqi  Town,9.9737,43.4266,,Abandoned,,,,,
Spring,Awdal,Zeylac,Galiisha,Habaas,10.4185,42.8112,Yes,,,,,,
Spring,Awdal,Borama,Biyo Cad,Gorayo Cawl,9.988,43.2354,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Abase Gaagaab 1,,10.1279,43.2052,,Abandoned,,,,,
Dug Well,Awdal,Borama,AF Doox 3,Boon,10.2023,43.0466,No,No,,4.0,,,
Spring,Awdal,Borama,IL Gorey 4,Baki,10.0649,43.3308,Yes,Yes,,,,,
Spring,Awdal,Borama,Biyoxumo,Xoorey,10.174,43.3446,Yes,Yes,,,,,
Spring,Awdal,Borama,Mareegaley,Xoorey,10.1672,43.353,Yes,Yes,,,,,
Dam,Awdal,Borama,Magaalo Cad 2,Magaalo Cad,9.6949,43.2988,No,Yes,,,,,
Spring,Awdal,Borama,Hadiile 1,Xamar,10.107,43.3326,Yes,Yes,,,,,
Dug Well,Awdal,Baki,Qabuurta,Qabuurta,10.0476,43.4891,No,Yes,,3.5,,,
Dug Well,Awdal,Baki,Carro Weyne 1,Carro Weyne,10.2802,43.4124,No,No,,,,,
Dug Well,Awdal,Lughaye,Hussein,wadajir,10.5602,43.2502,Yes,Yes,,2.0,,,
Dug Well,Awdal,Borama,Abokor Cadaawe 2,Baki,10.0342,43.3433,,,,,,,
Dug Well,Awdal,Borama,Fadhi Xun 3,Weeraar,10.292,43.296,,,,8.0,,,
Spring,Awdal,Zeylac,Buqdhada Jidhi,Buqdhada madow,10.5807,43.0316,Yes,,,,,,
Spring,Awdal,Borama,Cadeyga Hagoogan,Xoorey,10.1729,43.3407,No,Yes,,,,,
Spring,Awdal,Borama,Hadiile 2,Xamar,10.1067,43.332,Yes,Yes,,,,,
Dug Well,Awdal,Baki,Baki 2,Baki,10.0271,43.3709,,,,3.0,,,
Dug Well,Awdal,Baki,Gargaara 3,Hulka,10.3098,43.8066,Yes,Yes,,3.5,,,
Dug Well,Awdal,Baki,Hulka 2,,10.3514,43.9275,Yes,Yes,,7.5,,,
Dug Well,Awdal,Zeylac,Feedho weyn,Aasha Caddo,11.2573,43.4473,Yes,Yes,,2.5,,,
Dam,Awdal,Borama,Mixile Dam,Boorame,9.9551,43.2356,Yes,Yes,,,,,
Dug Well,Awdal,Borama,Af Doox 4,Boon,10.0468,43.0468,Yes,No,,4.0,,,
Dug Well,Awdal,Borama,Xamarta,Xamarta Town,10.1051,43.3489,,,,,,,
Dug Well,Awdal,Baki,Dacawaley,Dacawaley,10.4358,43.6468,Yes,Yes,,4.0,,,
Borehole,Awdal,Borama,Dile,,9.76846,43.33587,,Yes,35.0,,,,
Borehole,Awdal,borama,Afraag BH5,Cunaqabad,9.9314,43.0772,Yes,No,100.0,,,,
Borehole,Awdal,Lughaye,Geeriza,Geeriza,10.6077,43.4341,Yes,Yes,70.0,,,,
Borehole,Awdal,Lughaye,Geerisa bore hole 1,Geerisa,10.6078,43.4341,Yes,Yes,40.0,,,,
Borehole,Awdal,Lughaye,Geerisa bore hole 2,Geerisa,10.609,43.4342,No,Abandoned,40.0,,,,
Borehole,Awdal,Lughaye,Karuure BH2,Karuure,10.75314,43.59,Yes,Yes,,,,,
Borehole,Awdal,Lughaye,Karuura bore hole 2,Karuure,10.7518,43.5918,Yes,Yes,70.0,,,,
Borehole,Awdal,Lughaye,Qubuurta x. Husen Bore hole,Qabriga x. Husen,10.6286,43.6127,Yes,Abandoned,75.0,,,,
Borehole,Awdal,Lughaye,Idiris bore hole,Idris,10.5586,43.6428,Yes,Yes,49.0,,,,
Borehole,Awdal,Lughaye,Garaaca bore hole 1,Garaac,10.6507,43.7641,No,Abandoned,35.0,,,,
Borehole,Awdal,Lughaye,Kalawla bore hole one,Kalowla,10.5519,43.8516,Yes,Yes,,,,,
Borehole,Awdal,Lughaye,Kalawle BH1,Kalawle,10.5519,43.8518,Yes,Yes,20.0,,,,
Dug Well,Awdal,Borama,HEG.W7,,10.0667,43.3006,Yes,Yes,,6.1,,,
Borehole,Awdal,Borama,Dhagaxa madow,Dhagaxa madow,10.2644,43.1986,Yes,Yes,70.0,,,,
Borehole,Awdal,Borama,New Dhamuug BH8,Amoud,9.9512,43.2197,Yes,Yes,52.0,,,,
Borehole,Awdal,Borama,Agoomaha BH3,Qoorgab,9.9388,43.2015,Yes,Yes,90.0,,,,
Borehole,Awdal,Borama,Dhamuug BH15,Boorame,9.9094,43.20166,No,No,32.0,,,,
Borehole,Awdal,Zeylac,jidhi,,10.62525,43.07182,,Yes,,,,,
Borehole,Awdal,Borama,Shaylaha BH2,Shaylaha,9.9094,43.2017,Yes,Yes,81.0,,,,
Borehole,Awdal,Borama,Shaylaha BH15,Shaylaha,9.909,43.2027,Yes,Abandoned,119.0,,,,
Borehole,Awdal,Borama,Dhamuug BH14,Boorama,9.9376,43.222,,No,40.0,,,,
Borehole,Awdal,Borama,Amoud University,Boorama,9.9437,43.22,Yes,Yes,42.0,,,,
Borehole,Awdal,Borama,Qoorgaab,Qorgaab,9.9415,43.2064,Yes,Yes,60.0,,,,
Borehole,Awdal,Borama,Al xayaat hospital,Alxayaat,9.9375,43.2088,Yes,Yes,60.0,,,,
Borehole,Awdal,Borama,ARC BH2,Boorame Town,9.939,43.2115,,Abandoned,,,,,
